,ra,dec,mag
0,83.24867,-4.15431,14.1
1,82.758,-4.56,15.0
2,55.00775,24.77394,14.84
3,57.56262,22.67347,15.7
4,112.276733,43.540414,14.581
5,310.51125,44.31683,14.0
6,27.76688,-6.118,11.16
7,310.3815,41.81944,15.2
8,130.279,19.022,50.0
9,56.84679,22.24453,12.72
10,84.15767,-3.72917,15.5
11,100.26642,9.96931,14.277
12,310.90467,43.30397,13.9
13,58.72729,23.04692,15.3
14,84.039287,-5.774078,14.72
15,57.05188,26.58383,12.12
16,333.398728,25.9695925,10.7
17,83.9867,-4.6942,15.1
18,216.9836065,-0.3753034,10.92
19,246.70067,-17.39267,14.329
20,100.8263,9.5861,16.3
21,84.00775,-5.2935,11.63
22,207.20258,4.10064,10.8
23,50.59837,61.62947,15.3
24,56.27567,22.643,14.2
25,57.10629,22.21158,12.479
26,56.07396,24.44636,14.0
27,130.546,20.67,15.0
28,83.29388,-5.70681,14.9
29,315.85021,1.20931,50.0
30,83.41038,-6.81094,13.9
31,57.08575,23.51714,15.0
32,66.583,3.60997,14.3
33,58.058,23.333,50.0
34,312.15462,45.78761,14.5
35,100.041371,40.93965,13.595
36,130.6462,20.695,14.8
37,83.26913,-4.99603,14.4
38,280.290733,24.787322,8.9
39,70.35304,23.06175,13.0
40,55.00075,23.435015,13.366
41,83.02592,-4.93608,14.06
42,55.20363,24.68067,14.9
43,56.04733,23.85861,15.2
44,195.52446,12.37267,10.0
45,83.3675,-5.0794,19.6
46,83.72325,-4.355,13.9
47,188.4021,28.1114,14.1
48,81.653,-5.7405,14.8
49,83.34333,-5.54264,14.5
50,38.404882,24.927567,10.0
51,356.08683,21.60139,10.4
52,83.17488,-5.65667,14.9
53,294.23895,44.876639,19.3
54,54.873805,24.9673748,9.9
55,68.67,24.77,18.8
56,228.15908,45.72956,10.1
57,100.42437,9.55061,17.5
58,84.74754,-4.51056,16.3
59,209.793575,-19.834292,9.9
60,85.52125,-5.18572,14.0
61,82.78396,-7.07156,15.0
62,67.62663,22.49842,16.1
63,130.2996,19.8989,13.5
64,40.44713,-52.99186,12.21
65,128.621,19.26,12.0
66,268.410742,29.207317,13.028
67,55.27517,22.88911,15.1
68,70.612,24.827,16.0
69,84.110278,-6.104536,15.391
70,232.97612,28.85267,10.9
71,100.30542,9.53064,14.64
72,58.05075,26.36919,13.825
73,83.40229,-4.20656,14.5
74,83.951183,-6.299833,14.235
75,258.401462,78.613458,19.7
76,304.2945,42.62192,15.2
77,57.40217,24.304,14.2
78,84.5,-7.28,14.8
79,38.8117,2.7992,13.7
80,83.930825,-5.545583,13.152
81,83.89288,-7.28236,12.7
82,83.7579,-4.6431,18.4
83,82.75,-4.22,50.0
84,56.825587,24.036506,12.14
85,297.7888436,46.4833925,10.4
86,84.59779,-7.55233,13.42
87,164.11385,7.01013,50.0
88,83.942083,-6.877358,11.29
89,57.69546,48.21031,16.52
90,273.27737,26.03108,10.4
91,67.79904,26.55456,14.7
92,69.036208,23.475358,12.7
93,7.888358,11.609981,19.8
94,66.68854,25.34497,15.3
95,315.1079,44.5175,15.5
96,68.55725,22.445744,14.2
97,77.29154,15.45903,10.2
98,83.1563,-5.2114,15.4
99,84.03829,-5.85081,15.6
100,249.02346,8.81367,10.4
101,83.9035,-6.27528,13.075
102,337.226671,-13.421628,17.14
103,52.22642,50.27178,14.1
104,85.57,-4.32,14.5
105,5.60500696,6.66755281,10.2
106,55.229332,22.349735,13.77
107,313.337,45.073,16.3
108,100.12,9.85,17.5
109,219.6896,-43.2403,50.0
110,267.542,-35.837,16.0
111,54.15679,23.46511,15.6
112,56.908608,24.891842,12.5
113,84.04367,-3.81361,15.6
114,84.706242,-4.852311,14.31
115,84.51242,-6.32514,15.0
116,55.96729,24.84161,16.0
117,314.4605,55.43931,15.7
118,56.41788,24.84411,15.4
119,58.77604,23.00958,12.6
120,48.0783,61.0517,11.9
121,57.80425,22.30689,15.7
122,57.55108,23.99592,13.04
123,56.10992,26.04183,14.2
124,116.820555,29.9602306,12.744
125,83.9075,-4.2408,13.5
126,57.73925,24.10861,14.081
127,109.075085,33.152882,11.1
128,9.503454,40.439783,15.4
129,51.82567,47.95758,12.7
130,84.31625,-4.63011,14.8
131,315.575896,45.084911,15.5
132,83.662008,-6.422733,13.15
133,58.34046,25.64314,15.0
134,83.61954,-6.36889,13.816
135,82.69167,-7.50789,14.2
136,57.8849,24.618586,12.2
137,58.3542,23.6308,15.3
138,55.97571,22.30006,14.8
139,68.32,24.37,17.2
140,57.2055,23.97733,11.5
141,4.59535549,44.02295229,6.4
142,101.329021,-16.802608,8.9
143,307.2804,40.4367,15.5
144,83.3454,-5.1133,14.5
145,83.500983,-4.3548,17.1
146,90.014562,2.706575,8.43
147,84.10221,-5.11919,15.4
148,55.17737,25.7055,11.618
149,58.45383,25.35397,14.9
150,56.666496,23.988144,15.2
151,57.65588,22.469,15.16
152,55.67667,23.33942,13.823
153,130.679,19.77,15.5
154,171.086054,42.478497,16.325
155,56.72513,25.24583,13.76
156,56.894921,22.801353,14.84
157,36.6735,59.78556,13.7
158,83.578579,-5.117111,16.2
159,55.34533,23.93008,14.76
160,55.66763,23.98939,11.6
161,312.77333,68.923,16.0
162,266.983,-35.735,16.0
163,83.53196,-6.58619,15.2
164,335.87123928,32.45942088,9.7
165,149.913275,48.798511,12.137
166,311.275,42.617,16.2
167,4.23658,20.06531,10.7
168,315.24854,42.99681,13.3
169,100.29296,9.36375,14.44
170,67.31987,23.06189,13.6
171,83.6058,-4.5519,15.4
172,83.786246,-6.084014,12.49
173,83.755683,-5.931881,13.02
174,83.45,-5.52,14.8
175,83.5962,-4.5992,15.3
176,184.879,25.223,16.2
177,280.842225,40.672492,13.8
178,56.545237,23.621789,14.9
179,22.162237,5.501314,50.0
180,56.29504,23.04956,15.35
181,83.03696,-7.05392,13.9
182,82.34392,-7.39492,13.7
183,58.50896,24.31942,15.9
184,83.942229,-4.291636,13.8
185,312.2765,66.44864,16.4
186,84.1071,-7.7897,15.5
187,1.35178452,-37.3573614,6.432
188,52.2065374,26.4867634,10.5
189,56.233308,23.931539,14.4
190,55.72217,23.51875,14.5
191,82.67354,-4.89853,15.8
192,83.466717,-5.115494,14.27
193,330.535,49.121475,12.777
194,83.92,-4.23,14.9
195,56.01871,25.85628,11.559
196,81.9896,-4.0119,16.1
197,66.417,21.963,14.5
