C.D.S.  -  SIMBAD4 rel 1.5.8  -  2016.10.08EDT11:44:25

maintype = 'Flare Star'
-----------------------

Number of objects : 2026

 #  |         identifier          |typ| coord1 (ICRS,J2000/2000)  |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |#bib|#not
----|-----------------------------|---|---------------------------|------|------|------|------|------|---------------|----|----
1   |V* V1104 Ori                 |Fl*|083.24867 -04.15431        |14.6  |14.6  |     ~|14.100|     ~|~              |   2|   0
2   |V* V1195 Ori                 |Fl*|082.758 -04.560            |15.0  |15.0  |     ~|     ~|     ~|~              |   2|   0
3   |V* V598 Tau                  |Fl*|055.00775 +24.77394        |15.8  |18.90 |17.69 |     ~|14.84 |~              |  11|   0
4   |V* V672 Tau                  |Fl*|057.56262 +22.67347        |     ~|17.0  |     ~|15.700|     ~|~              |   7|   0
5   |2MASS J07290641+4332254      |Fl*|112.276733 +43.540414      |     ~|     ~|14.581|     ~|     ~|~              |   1|   0
6   |V* V1588 Cyg                 |Fl*|310.51125 +44.31683        |     ~|17.5  |     ~|14.000|     ~|~              |   2|   0
7   |GJ 3119                      |Fl*|027.76688 -06.11800        |     ~|16.290|14.49 |13.00 |11.16 |M4.5Ve         |  26|   0
8   |V* V1587 Cyg                 |Fl*|310.38150 +41.81944        |     ~|15.2  |     ~|     ~|     ~|~              |   2|   0
9   |V* BC Cnc                    |Fl*|130.279 +19.022            |     ~|     ~|     ~|     ~|     ~|M...           |   2|   0
10  |V* V538 Tau                  |Fl*|056.84679 +22.24453        |15.5  |15.93 |14.54 |     ~|12.72 |M:             |  17|   0
11  |V* V1049 Ori                 |Fl*|084.15767 -03.72917        |15.5  |18.3  |     ~|17.200|     ~|~              |   3|   0
12  |V* V358 Mon                  |Fl*|100.26642 +09.96931        |19.193|18.071|16.583|     ~|14.277|~              |   8|   0
13  |V* V1592 Cyg                 |Fl*|310.90467 +43.30397        |13.9  |14.700|     ~|14.000|     ~|~              |   2|   0
14  |V* V685 Tau                  |Fl*|058.72729 +23.04692        |     ~|18.0  |     ~|15.300|     ~|~              |   7|   0
15  |Brun 960                     |Fl*|084.039287 -05.774078      |     ~|16.49 |15.16 |14.72 |     ~|K7             |  14|   0
16  |V* V656 Tau                  |Fl*|057.05188 +26.58383        |15.7  |14.859|13.586|     ~|12.120|~              |   8|   0
17  |GJ 4264                      |Fl*|333.3987280 +25.9695925    |     ~|14.6  |13.682|13.252|10.7  |M3.5           |  14|   0
18  |V* V949 Ori                  |Fl*|083.9867 -04.6942          |     ~|15.1  |     ~|     ~|     ~|~              |   1|   0
19  |G 124-43                     |Fl*|216.9836065 -00.3753034    |     ~|15.3  |     ~|13.77 |10.92 |M4.5           |  14|   0
20  |GJ 3954                      |Fl*|246.70067 -17.39267        |     ~|16.109|14.329|14.382|     ~|M4.5           |  15|   0
21  |V* V676 Mon                  |Fl*|100.8263 +09.5861          |     ~|16.3  |     ~|     ~|     ~|~              |   1|   0
22  |V* V578 Ori                  |Fl*|084.00775 -05.29350        |15.975|14.453|13.461|     ~|11.630|K6-K7          |  32|   0
23  |Wolf 1494                    |Fl*|207.20258 +04.10064        |     ~|15.5  |14.401|14.124|10.8  |M4             |  18|   0
