index,identifier,typ,ra,dec,MagU,MagB,MagV,MagR,MagI,Magg,Magr,spectype,bib,not,mag,inCA,inCB,observedable
913,Wolf359,Fl*,164.120271,7.014658,16.706,15.541,13.507,11.684,9.507,14.265,12.762,M5.0Ve,552,0,9.507,14.0,,True
1594,V*V927Tau,Fl*,67.849258,24.181369,,14.0,,13.7,,,,M4.75,85,1,13.7,13.0,,True
435,V*AZCnc,Fl*,130.123963,18.40255,14.1,19.2,17.59,16.6,13.45,,,M6.0V,58,0,13.45,16.0,,True
1902,V*FFTau,Fl*,68.837092,22.906736,17.57,15.73,,12.8,,,,M9V:,54,1,12.8,13.0,,True
275,GJ1154,Fl*,183.568908,0.623989,,15.4,13.64,13.309,10.1,14.38,12.99,M4.5Ve,45,0,10.1,10.0,17.0,True
2006,V*AFPsc,Fl*,352.93721,-2.74433,,15.7,14.43,13.3,,,,M4.5,41,0,13.3,12.0,,True
98,Ross388,Fl*,77.29154,15.45903,,13.98,12.516,12.12,10.2,13.172,11.921,M3.5V,27,0,10.2,13.0,,True
352,2MASSJ04260431+1707145,Fl*,66.517983,17.120719,,17.37,15.71,15.71,,16.504,14.971,M5V,25,0,14.971,13.0,,True
1095,GJ3631,Fl*,163.0593,5.919404,,15.9,14.823,14.637,11.4,15.601,14.159,M5.40,24,0,11.4,14.0,,True
657,GJ3630,Fl*,163.0135977,0.5440342,,15.2,13.898,13.614,10.7,14.636,13.253,M4V,24,0,10.7,14.0,,True
1837,V*V1117Tau,Fl*,69.56508,23.041,,15.12,,12.7,,,,M1,22,0,12.7,13.0,,True
452,V*EZTau,Fl*,68.80487,22.98903,,18.3,,14.9,,,,M4.75V,20,0,14.9,13.0,,True
972,GJ3636,Fl*,165.21012,12.06967,,17.2,15.96,14.8,12.0,,,M5,16,0,12.0,14.0,,True
1526,V*AXCnc,Fl*,129.791096,19.783036,14.8,14.8,,,,,,M2.0,15,0,14.8,5.0,16.0,True
1475,V*V925Tau,Fl*,67.6591306,22.9080206,13.1,14.68,13.015,12.563,,13.717,12.417,M2.5,13,0,12.417,13.0,,True
1464,V*FITau,Fl*,69.301133,23.604478,,16.3,,,,,,M5V:...,13,0,16.3,13.0,,True
1237,V*V828Tau,Fl*,68.16912,22.703,,16.8,,15.1,,,,M8,12,0,15.1,13.0,,True
